file_id,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_minilm_hdbscan_100,1.5,0.05371714185732277,0.7547423352064007,0.1183018187012528,0.7124448145870946,0.08610536752884353,0.8188295950500841
cluster_minilm_hdbscan_2,269.5,0.24942423740182446,0.6536507318447121,0.46693542964824747,0.527898888833621,0.21490778069584088,0.7884655775376878
cluster_minilm_hdbscan_30,8.5,0.09211582575715524,0.7303878905620843,0.13690118360983025,0.6961042880431279,0.13905674290171635,0.8035540318061692
cluster_minilm_hdbscan_35,8.5,0.10417344194622824,0.7370513353249184,0.15488431961069954,0.6903709297880497,0.11612968813522927,0.8078882934801235
cluster_minilm_hdbscan_40,7.0,0.10868856076967692,0.7285794662987324,0.15159838302353865,0.6975240060148279,0.1315629837781793,0.8065675029298204
cluster_minilm_hdbscan_45,6.0,0.10669815572246084,0.7423340030894308,0.14064144804749892,0.7036924294508722,0.12289536061998203,0.8031511937761195
cluster_minilm_hdbscan_50,4.0,0.09244550297147534,0.7418448687139332,0.15563305587604268,0.6906749982150662,0.10079135638612904,0.8125722349921629
cluster_minilm_hdbscan_55,3.0,0.08783268743989273,0.7353318112907405,0.13211183852151565,0.6935563650912778,0.08569692255372244,0.8158242533126765
cluster_minilm_hdbscan_60,3.0,0.07970075841066844,0.7385764691115593,0.13868876323879864,0.6899000257872205,0.1206540330419407,0.810262520095349
cluster_minilm_kmeans_10,4.5,0.07493446792866305,0.7366264890622206,0.148153864102651,0.6989435821698498,0.05914088930235169,0.8220575326403484
cluster_minilm_kmeans_15,7.0,0.08280207508230165,0.7343108865736101,0.140500701404419,0.6876825636260739,0.1027297993886258,0.8149897861251214
cluster_minilm_kmeans_20,9.5,0.09509217184358149,0.7293108160819562,0.133391307165572,0.6928597242518854,0.11689286592846604,0.8090320223811277
cluster_mpnet_hdbscan_100,0.0,0.04737299740196127,0.7487216977807066,0.0749015440027736,0.7177336579463116,0.07067120447484744,0.8052298005778952
cluster_mpnet_hdbscan_2,268.5,0.22583691525201793,0.6653543559317369,0.4670413693719767,0.5283699233294639,0.20927081558234942,0.7890411211476536
cluster_mpnet_hdbscan_30,6.5,0.05814504578756274,0.7449097991167705,0.17183285131003562,0.6796698180549671,0.09909311411495571,0.8053061834862281
cluster_mpnet_hdbscan_35,6.5,0.0902587375172113,0.7414645406167493,0.17641532883652608,0.6764016324345052,0.11394683537790568,0.8080516072088678
cluster_mpnet_hdbscan_40,5.0,0.0893677902266494,0.7410413902880825,0.15667300057911218,0.6833391384437495,0.10991331476049959,0.8043769463184521
cluster_mpnet_hdbscan_45,2.5,0.0828144651548015,0.7321946623921963,0.13017807886973565,0.7040503405642866,0.10362335139951677,0.8129465414403209
cluster_mpnet_hdbscan_50,3.0,0.08960642634058877,0.728256322460819,0.14138858972666013,0.6882510278555656,0.11985636002782582,0.806343275735886
cluster_mpnet_hdbscan_55,2.0,0.05489904027387078,0.7316838186818734,0.12327091010495961,0.694212639376354,0.10414886846970223,0.8180003356908254
cluster_mpnet_hdbscan_60,2.0,0.08050285150852532,0.7339049003825556,0.12766397044932773,0.6907383951014191,0.09414074185518961,0.8218861660891991
cluster_mpnet_kmeans_10,4.5,0.09655717866973243,0.7327834236606083,0.11431435341653529,0.6906283827519502,0.09871728547510895,0.8117399218489091
cluster_mpnet_kmeans_15,7.0,0.08928753662391402,0.7351906891213801,0.11747565379277532,0.6954002922633042,0.12604343195045542,0.8100472128852368
cluster_mpnet_kmeans_20,9.5,0.0977933428691554,0.7099856188040837,0.11907499234090076,0.6928417634889829,0.08345961535532434,0.8158248175100713
cluster_paraphrase_hdbscan_100,0.5,0.07442340774620186,0.6980623952937737,0.11889445852644756,0.6909746984238747,0.042190938992652915,0.8325546111576977
cluster_paraphrase_hdbscan_2,270.0,0.22780579791329383,0.6617958247984493,0.48950828697398013,0.5148773271618311,0.21329172261174656,0.7895625995123289
cluster_paraphrase_hdbscan_30,0.0,0.043614473867186414,0.77744202605755,0.10126303233785933,0.7326263524456627,0.06244460819268524,0.8325546111576976
cluster_paraphrase_hdbscan_35,0.0,0.03658311179287436,0.7635147884289463,0.10030057592593221,0.7361424330812802,0.06244460819268524,0.8325546111576976
cluster_paraphrase_hdbscan_40,5.0,0.06721064879352782,0.7416331785346084,0.11290553165061125,0.7074673708952116,0.12851327567707324,0.8068996451543687
cluster_paraphrase_hdbscan_45,2.5,0.07571558183675046,0.7293905808231365,0.12080174414832759,0.6923359482358366,0.09464764894229445,0.8137418010935515
cluster_paraphrase_hdbscan_50,2.5,0.12818129589713176,0.7056648400715845,0.1486365097825763,0.6874701701599514,0.10491804273506611,0.8095977056968967
cluster_paraphrase_hdbscan_55,2.5,0.1279430168267175,0.6821412110915472,0.14811776213992545,0.6886811615597808,0.09812805029623757,0.8123161091389344
cluster_paraphrase_hdbscan_60,2.0,0.07510228265507303,0.7135316120991642,0.12380126671331945,0.6932495313551958,0.08620488727050264,0.81464379840526
cluster_paraphrase_kmeans_10,4.5,0.076113413152086,0.7514001469569924,0.12053117783031578,0.6942888544661461,0.10012088268593689,0.8039327030571229
cluster_paraphrase_kmeans_15,7.0,0.07627640912659324,0.739265806168515,0.1255947332624186,0.7105737249716317,0.0899675007980201,0.8082837586052686
cluster_paraphrase_kmeans_20,9.5,0.08656611218573737,0.724457000731243,0.1356332232637148,0.6931437654951984,0.10714316625501863,0.8086230511713823
cluster_t5_hdbscan_100,0.0,0.12115874833109865,0.7366926044265054,0.15413578386803603,0.6888869302788677,0.049181379262148536,0.8213492636359394
cluster_t5_hdbscan_2,265.0,0.2566977312681261,0.6475737667486633,0.4786442834373059,0.5197989139471311,0.20282793967787746,0.7887591444579222
cluster_t5_hdbscan_30,4.0,0.10720547532690962,0.7272966186987824,0.2002710630216744,0.6766049286820471,0.09644563733442893,0.8119359822050679
cluster_t5_hdbscan_35,0.0,0.08613804219001135,0.7313470430356389,0.1522560919132071,0.7016433524948429,0.049181379262148536,0.8213492636359394
