cluster_id,ivd_t5,pairs_t5,sentences_t5,file_id,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert
17,0.5,2,4,cluster_e5_hdbscan_50,0.5,5,10,0.0,0.0,1.0
18,1.0,2,2,cluster_e5_hdbscan_50,1.0,7,7,0.0,0.0,1.0
19,0.3333333333333333,1,3,cluster_e5_hdbscan_50,5.0,10,2,0.0,0.0,1.0
0,8.5,17,2,cluster_e5_kmeans_10,1.5555555555555556,14,9,0.0,0.0,1.0
1,3.0,9,3,cluster_e5_kmeans_10,1.8571428571428572,13,7,0.0,0.0,1.0
2,1.0,2,2,cluster_e5_kmeans_10,1.7142857142857142,12,7,0.0,0.0,1.0
3,1.3333333333333333,4,3,cluster_e5_kmeans_10,1.6666666666666667,10,6,0.0,0.0,1.0
4,1.0,2,2,cluster_e5_kmeans_10,1.2857142857142858,9,7,0.0,0.0,1.0
5,0.6666666666666666,2,3,cluster_e5_kmeans_10,1.625,13,8,0.0,0.0,1.0
6,0.6666666666666666,2,3,cluster_e5_kmeans_10,1.2,12,10,0.0,0.0,1.0
7,2.0,4,2,cluster_e5_kmeans_10,1.3333333333333333,8,6,0.0,0.0,1.0
8,,0,0,cluster_e5_kmeans_10,1.1764705882352942,20,17,0.0,0.0,1.0
9,1.0,3,3,cluster_e5_kmeans_10,0.5909090909090909,13,22,0.0,0.0,1.0
