cluster_id,summary,used_reviews
9,"get just about you want in it, plenty of space to keep your best shots and memories. it's the best and the price is very reasonable. i think a really good memory card at good price. i got it and still have s lot of space for all my music and videos. no much to say it is worth every penny! just choose the amount of space you want and you're done!","[""get just about you want in it, plenty of space to keep your best shots and memories. it's the best and the price is very reasonable."", 'i think a really good memory card at good price. i got it and still have s lot of space for all my music and videos.', ""no much to say it is worth every penny! just choose the amount of space you want and you're done!""]"
10,"does the job as advertised.if you need extra memory on your phone tablet or whatever device, this is bext buy price quality a very good product and very useful for my smart phone, adapter works fine.recomended for all th smart phones that can expand to 64 gb a great product and a very reasonable price. it has increased the galaxy tab 2 memory and useability without having to deal with other interface cables.","['does the job as advertised.if you need extra memory on your phone tablet or whatever device, this is bext buy price quality', 'a very good product and very useful for my smart phone, adapter works fine.recomended for all th smart phones that can expand to 64 gb', 'a great product and a very reasonable price. it has increased the galaxy tab 2 memory and useability without having to deal with other interface cables.']"
11,"works great in our smart phones. gives us a lot more memory. comes with an adapter if you require the ability to put it directly into your computer with a normal sd slot. fast, great storage. we used this sd card for a new samsung galaxy s5. works like a dream. well formatted and fast. i would recommend this product to anyone who need a high gb sd card. the added on sd adapter is a nice plus and comes in handy for pc transfers.","['works great in our smart phones. gives us a lot more memory. comes with an adapter if you require the ability to put it directly into your computer with a normal sd slot.', 'fast, great storage. we used this sd card for a new samsung galaxy s5. works like a dream. well formatted and fast. i would recommend this product to anyone who need a high gb sd card. the added on sd adapter is a nice plus and comes in handy for pc transfers.']"
12,"very fast, reliable product. i use it every day in two computers, saving multiple files from one pc and moving them to another as backup. i use this because my office use all window os and i'm the only one with a mac os, so file transfers between computers are easy with this little thing i use it to hold files from my computer and transfer files from other computers it works good for this task and is quick. i would recommend this plus the price isn't bad.","['very fast, reliable product. i use it every day in two computers, saving multiple files from one pc and moving them to another as backup.', ""i use this because my office use all window os and i'm the only one with a mac os, so file transfers between computers are easy with this little thing"", ""i use it to hold files from my computer and transfer files from other computers it works good for this task and is quick. i would recommend this plus the price isn't bad.""]"
13,"when i needed more video capacity for my canon camera, the sandisk 32 gb micro card with included adapter was exactly the right tool for the job !!i've had several sandisk memory cards in the past, with never a glitch of any kind.highly recommended ! bought this for canon powershot n because it takes a micro. i always use ultra or extreme pro sandisk, since they are my preferred brand, and i like them for had video and continuous snapshots. no problems with the card, came with working adapter. happy with this purchase would and probably will buy more. i like this product as it works very well. at first it only showed but when i plugged my camera using this micro sdhc into my laptop and seen that this card had 2 partitions on it, i had to chose the correct one to use, otherwise i couldn't take many pictures or videos.","[""when i needed more video capacity for my canon camera, the sandisk 32 gb micro card with included adapter was exactly the right tool for the job !!i've had several sandisk memory cards in the past, with never a glitch of any kind.highly recommended !"", 'bought this for canon powershot n because it takes a micro. i always use ultra or extreme pro sandisk, since they are my preferred brand, and i like them for had video and continuous snapshots. no problems with the card, came with working adapter. happy with this purchase would and probably will buy more.', ""i like this product as it works very well. at first it only showed but when i plugged my camera using this micro sdhc into my laptop and seen that this card had 2 partitions on it, i had to chose the correct one to use, otherwise i couldn't take many pictures or videos.""]"
14,"i have a couple of these and have had no problems with them at all. they seem to be fast and supply the full advertised memory capacity. used it in several camera models d800, nex 5n and hdr as15 all worked great with no issues. i am definitely thinking about getting a few more of these since amazon has an unbeatable price.","['i have a couple of these and have had no problems with them at all. they seem to be fast and supply the full advertised memory capacity.', 'used it in several camera models d800, nex 5n and hdr as15 all worked great with no issues. i am definitely thinking about getting a few more of these since amazon has an unbeatable price.']"
15,"samsung gives you the ability to install apps on your sd card with galaxy devices. i had a class 4 sd card before and initially blamed the tablet. i thought i was going to have to get it replaced. it was the sd card.i got this sd card and have yet to experience any issues! love this thing! since my samsung s2 could not take the 64gb card, i bought this one. like i expected it works great and no problems so far.","['samsung gives you the ability to install apps on your sd card with galaxy devices. i had a class 4 sd card before and initially blamed the tablet. i thought i was going to have to get it replaced. it was the sd card.i got this sd card and have yet to experience any issues! love this thing!', 'since my samsung s2 could not take the 64gb card, i bought this one. like i expected it works great and no problems so far.']"
16,"as described, no problems. recommend it.only problem, price is too high. ...i may order the 64 gb as well. its 64 gigs it works great not sure what else to say about it really. not much else to say.","['as described, no problems. recommend it.only problem, price is too high. ...i may order the 64 gb as well.', 'its 64 gigs it works great not sure what else to say about it really. not much else to say.']"
17,it works great and added more memory for my lg phone. sandisk brand is very trust worthy.i recommend it highly. i needed this for my new phone. it works great!sandisk is a good brand so i didn't hesitate to purchase it. i ordered this to use with my new samsung galaxy sii phone. i've used sandisk in the past and have always had great luck with their products. i would definitely recommend this product.,"['it works great and added more memory for my lg phone. sandisk brand is very trust worthy.i recommend it highly.', ""i needed this for my new phone. it works great!sandisk is a good brand so i didn't hesitate to purchase it."", ""i ordered this to use with my new samsung galaxy sii phone. i've used sandisk in the past and have always had great luck with their products. i would definitely recommend this product.""]"
18,"works great with my samsung galaxy tab3. transfer speeds are excellent with this card.i would recommend this card to everyone. i used this in my samsung galaxy tab 2.0, and transfer rates are pretty good when going straight through usb. it does act a little peppier however when plugged straight into a card reader. this works well and is speedy in both my samsung galaxy s3 and my samsung galaxy tab 2 10.1. the included adapter works great in my pc memory card slot as well.","['works great with my samsung galaxy tab3. transfer speeds are excellent with this card.i would recommend this card to everyone.', 'i used this in my samsung galaxy tab 2.0, and transfer rates are pretty good when going straight through usb. it does act a little peppier however when plugged straight into a card reader.', 'this works well and is speedy in both my samsung galaxy s3 and my samsung galaxy tab 2 10.1. the included adapter works great in my pc memory card slot as well.']"
19,"memory cards best in world. the memory card completely corresponds to the description. i am happy, my smartphone is happy, my tablet is happy. amazon thanks thank you amazon for showing me what type of memory card and adapter that i needed. i love buying everything i need at once to use my electronics purchases. perfect just what i wanted! i get all my micro sd cards from amazon because sandisk are the best and the best price is here.","['memory cards best in world. the memory card completely corresponds to the description. i am happy, my smartphone is happy, my tablet is happy. amazon thanks', 'thank you amazon for showing me what type of memory card and adapter that i needed. i love buying everything i need at once to use my electronics purchases.', 'perfect just what i wanted! i get all my micro sd cards from amazon because sandisk are the best and the best price is here.']"
20,this item arrive on time. upon receiving it i put it in an electronic device and it stores stuff you need to store. nice colors too. arrived on time and did everything as expected.more then enough cap to hold severail hours of recording,"['this item arrive on time. upon receiving it i put it in an electronic device and it stores stuff you need to store. nice colors too.', 'arrived on time and did everything as expected.more then enough cap to hold severail hours of recording']"
21,"i bought this to create a bootable sd card so that my nook hd could run pure android instead of the native nook os. it works beautifully. i bought this to change my nook to android and boot off it. it's fast and reliable for daily use. i used this to turn my nook color into an android. it was incredibly easy to install and works great. i haven't had any problems with it. the read and write speeds are phenomenal, given that i am running an entire operating system off just this card. the price was great too!","['i bought this to create a bootable sd card so that my nook hd could run pure android instead of the native nook os. it works beautifully.', ""i bought this to change my nook to android and boot off it. it's fast and reliable for daily use."", ""i used this to turn my nook color into an android. it was incredibly easy to install and works great. i haven't had any problems with it. the read and write speeds are phenomenal, given that i am running an entire operating system off just this card. the price was great too!""]"
22,"bought it for memory in the smartphone. so far it does what it is supposed to. remember what i save.. what can i say about a memory card? i purchased it to increase the memory in my phone, it fits as it should, and works as it should. not much to say..bought it to use with my smartphone. it works as expected and allowed me to free up my internal memory.","['bought it for memory in the smartphone. so far it does what it is supposed to. remember what i save..', 'what can i say about a memory card? i purchased it to increase the memory in my phone, it fits as it should, and works as it should.', 'not much to say..bought it to use with my smartphone. it works as expected and allowed me to free up my internal memory.']"
23,"i bought 2 of this, one for a hero3 camera and one for a galaxy s3 mini, they both work excelent, recommended for video shooting. very good price!with the adapter you can use it on a sd card reader sdhc compatible for the price these cards provide a good compromise in terms of speed and cost. i use them with iogear usb 3.0 adapters and they work well in that capacity.","['i bought 2 of this, one for a hero3 camera and one for a galaxy s3 mini, they both work excelent, recommended for video shooting. very good price!with the adapter you can use it on a sd card reader sdhc compatible', 'for the price these cards provide a good compromise in terms of speed and cost. i use them with iogear usb 3.0 adapters and they work well in that capacity.']"
24,"got extremely solid speeds with it, no slack on my android. solid micro sd card with gigantic space.it works. awesomely. lots of room, enough speed and everything that i need portable is going along for the ride. no loss of data for me.","['got extremely solid speeds with it, no slack on my android. solid micro sd card with gigantic space.it works. awesomely.', 'lots of room, enough speed and everything that i need portable is going along for the ride. no loss of data for me.']"
25,"i shopped several other places for a good deal on a quality memory card and found it at amazon once again this was a great price for this card, and they are not cheap made. save several buying form amazon, the local stores was a lot higher... i have been looking for a 64gb memory card and i found one at our local electronics store but it was over 100. i logged onto amazon.com and found this at a great price. why pay more when you can come to amazon and get it for less.","['i shopped several other places for a good deal on a quality memory card and found it at amazon once again', 'this was a great price for this card, and they are not cheap made. save several buying form amazon, the local stores was a lot higher...', 'i have been looking for a 64gb memory card and i found one at our local electronics store but it was over 100. i logged onto amazon.com and found this at a great price. why pay more when you can come to amazon and get it for less.']"
26,"great storage, has not failed yet after about a year of usage. excellent storage and small! works well and does everything i need it to plus it came in at a good price. great price and works great. if you want more storage at a reasonable price, i would highly recommend this product.","['great storage, has not failed yet after about a year of usage.', 'excellent storage and small! works well and does everything i need it to plus it came in at a good price.', 'great price and works great. if you want more storage at a reasonable price, i would highly recommend this product.']"
