cluster_id,summary,used_reviews
-1,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter...","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', ""works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter...""]"
0,"there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
1,"the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did. incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here. much faster than my other microsd cards, most if which are class 4. in a galaxy s3 now, fast enough not to slow it down when loading files music photos. did not benchmark...","[""the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did."", ""incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here."", 'much faster than my other microsd cards, most if which are class 4. in a galaxy s3 now, fast enough not to slow it down when loading files music photos. did not benchmark...']"
2,"used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","['used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card.', 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
3,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
4,"i like the storage capacity of this little gadget. purchased for use in my smartphone. sandisk has shown itself to be a truly reliable and quality storage device company and should do well in years to come. this 32 gb micro memory card comes with an adapter so that you can use it for other purposes. they tend to be a bit on the pricey side, but you can't beat amazon for pricing. go ahead, get one or two of these, they are a worthwhile investment, and you won't be disappointed. it's a micro sd card, it's 128 gb which is amazing , and that's just about all i can say... i do wish it was faster, because i've put 20 40gb virtual machine files on it and it took quite a while for them to copy. i guess i'm used to ssd speeds. but anyway, it adds a much needed additional storage to my tablet. great little micro sd card! the 64 gb of storage is awesome. very dependable brand. i have this brand for other devices and always works like a charm!","[""i like the storage capacity of this little gadget. purchased for use in my smartphone. sandisk has shown itself to be a truly reliable and quality storage device company and should do well in years to come. this 32 gb micro memory card comes with an adapter so that you can use it for other purposes. they tend to be a bit on the pricey side, but you can't beat amazon for pricing. go ahead, get one or two of these, they are a worthwhile investment, and you won't be disappointed."", ""it's a micro sd card, it's 128 gb which is amazing , and that's just about all i can say... i do wish it was faster, because i've put 20 40gb virtual machine files on it and it took quite a while for them to copy. i guess i'm used to ssd speeds. but anyway, it adds a much needed additional storage to my tablet."", 'great little micro sd card! the 64 gb of storage is awesome. very dependable brand. i have this brand for other devices and always works like a charm!']"
5,"bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost. used it for my samsung galaxy tab 2 10.1 tablet. stopped working after about 10 months without warnings. my tablet now recognizes as blank or un formatted card my computers won't even recognize it at all! i am still trying to recover some priceless photos of my kids since my last backup of the card... i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.","['bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost.', ""used it for my samsung galaxy tab 2 10.1 tablet. stopped working after about 10 months without warnings. my tablet now recognizes as blank or un formatted card my computers won't even recognize it at all! i am still trying to recover some priceless photos of my kids since my last backup of the card..."", 'i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.']"
6,"nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video. i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone. i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.","['nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video.', 'i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone.', 'i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.']"
7,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i use this on my 32 gb microsoft surface rt and it does the job as advertised, so 5 stars.i have used it to extend the storage capacity on the tablet to 64gb for storing documents, pictures etc. there are many articles on the internet that show you how to do that. i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i use this on my 32 gb microsoft surface rt and it does the job as advertised, so 5 stars.i have used it to extend the storage capacity on the tablet to 64gb for storing documents, pictures etc. there are many articles on the internet that show you how to do that.', 'i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great!']"
8,good sd card does its good job i purchased mine the 64gb for my note 2 highly recommend it try it bought this micro sd card for my samsung galaxy note 2 and it works flawlessly. lots of space and fast! added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast.,"['good sd card does its good job i purchased mine the 64gb for my note 2 highly recommend it try it', 'bought this micro sd card for my samsung galaxy note 2 and it works flawlessly. lots of space and fast!', ""added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast.""]"
