file_id,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_bge_hdbscan_30,13.0,0.1004973986234606,0.7320267453260538,0.20764344230055867,0.663033318574481,0.11978961283853932,0.8076673855567506
cluster_bge_hdbscan_40,10.0,0.0958385494240236,0.7353311010888381,0.18219085738741123,0.670419577345839,0.11111378354103628,0.8135080461842495
cluster_bge_hdbscan_50,9.0,0.10173147284271437,0.7343755850142246,0.18670317970917902,0.6684732853583768,0.11319180557209023,0.8129231016672851
cluster_bge_kmeans_10,4.5,0.11437540346534278,0.7109977132449116,0.13577617354908378,0.6958204163608006,0.11198071646798295,0.8119787696666357
cluster_bge_kmeans_15,7.0,0.06831909830803821,0.7292565120166717,0.13360489278860632,0.6928495675023123,0.06891831265080886,0.8179519284816036
cluster_bge_kmeans_20,9.5,0.10640549070718838,0.7305351603383163,0.18665237468738924,0.6841684504720933,0.1163455199943328,0.8076973546322261
cluster_e5_hdbscan_30,16.5,0.11165484577280108,0.7319760249750877,0.21209396056100785,0.6715165399171803,0.13789186664210493,0.8016991724604724
cluster_e5_hdbscan_40,11.5,0.10498654319608555,0.7322877224965005,0.2099728698408877,0.6750116597478804,0.15640093287681678,0.7976435356601551
cluster_e5_hdbscan_50,9.0,0.08761729456378882,0.7331995396305347,0.20053252004707742,0.6760890971461523,0.14998655278079295,0.7978629732513325
cluster_e5_kmeans_10,4.5,0.06208246129041959,0.737231675469783,0.16526380046655426,0.6734409199334566,0.0848156545445999,0.8088829503488538
cluster_e5_kmeans_15,7.0,0.08207100458228164,0.732069704674764,0.15752754150033363,0.6845974140192231,0.07822070123555287,0.811029325823482
cluster_e5_kmeans_20,9.5,0.09809426690340717,0.7253152152409432,0.1528732241085848,0.6839579751180092,0.1057951476214456,0.8079316912572387
cluster_minilm_hdbscan_30,14.5,0.13202090594907362,0.7151740590195249,0.15940761678384663,0.6869713816810518,0.13860155867329996,0.8025473868970726
cluster_minilm_hdbscan_40,12.0,0.11676035118510383,0.717739025264214,0.14915284540028878,0.6900856934525192,0.11612115185786635,0.8039975117123572
cluster_minilm_hdbscan_50,9.5,0.12506036187801622,0.7160244016480002,0.15079660243626344,0.6877306740604308,0.1251693321832153,0.8021705042321049
cluster_minilm_kmeans_10,4.5,0.07493446792866305,0.7366264890622206,0.148153864102651,0.6989435821698496,0.05914088930235169,0.8220575326403484
cluster_minilm_kmeans_15,7.0,0.08280207508230165,0.7343108865736101,0.140500701404419,0.6876825636260739,0.1027297993886258,0.8149897861251214
cluster_minilm_kmeans_20,9.5,0.09509217184358149,0.7293108160819561,0.133391307165572,0.6928597242518854,0.11689286592846604,0.8090320223811277
