file_id,cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
cluster_minilm_hdbscan_100,1.5,0.4617081781228383,0.23879011968771616,0.016666666666666666,0.43999999999999995,0.5416666666666666,0.5320620834827423,0.30376604199409485,0.08333333333333333,0.42000000000000004,0.6587249304640609,0.41697893738746644,0.0,0.04,,1.4
cluster_minilm_hdbscan_2,269.5,0.6178422180765628,0.2718354009316952,0.04095940959409595,0.5417590881084411,0.6979924442101564,0.7355719309891282,0.2812333210642927,0.10092250922509226,0.900765044156911,0.6354739449048499,0.5471621362041413,0.0,0.022920517560073937,,0.6321626617375231
cluster_minilm_hdbscan_30,8.5,0.5159387603402138,0.29960590936243536,0.04,0.495906432748538,0.8324999999999999,0.5646579891443253,0.28543348163366317,0.095,0.5789473684210527,0.48735275689223057,0.44169326597138453,0.0,0.02631578947368421,,0.631578947368421
cluster_minilm_hdbscan_35,8.5,0.49695201460272076,0.3001419957727194,0.04,0.47368421052631576,0.775,0.5667353093624115,0.2906477652490139,0.09,0.5865497076023392,0.4258445720945721,0.44370703399181366,0.0,0.02631578947368421,,0.7894736842105263
cluster_minilm_hdbscan_40,7.0,0.4808601456529954,0.2731492913821164,0.06470588235294118,0.4201388888888889,0.6509803921568628,0.5688336912323447,0.297249353983823,0.09411764705882353,0.53125,0.44902999477302885,0.4506104327738285,0.0,0.037500000000000006,,1.0
cluster_minilm_hdbscan_45,6.0,0.5190939168135326,0.3611287554105123,0.04666666666666667,0.46031746031746035,0.6211111111111111,0.5700731654961904,0.2913181553284327,0.07333333333333333,0.5142857142857143,0.4204515364498202,0.44165344749178204,0.0,0.03571428571428571,,1.0
cluster_minilm_hdbscan_50,4.0,0.4747018976645036,0.3634394955906001,0.05454545454545456,0.3922222222222222,0.856060606060606,0.5397677963430231,0.26993798396804114,0.1272727272727273,0.49000000000000005,0.40814246359700906,0.39616418331861497,0.0,0.05,,0.4
cluster_minilm_hdbscan_55,3.0,0.4983278214931488,0.28437459137704635,0.03333333333333334,0.3902777777777778,0.9092592592592593,0.5436857541402181,0.3070124155945248,0.1,0.39305555555555555,0.50518330300939,0.4117370992898941,0.0,0.07500000000000001,,0.75
cluster_minilm_hdbscan_60,3.0,0.4657151417599784,0.22041674041085774,0.05555555555555555,0.3625,0.828042328042328,0.5459376706017388,0.31219714714421165,0.12222222222222223,0.4375,0.5116001282667949,0.40791133791208267,0.0,0.07500000000000001,,0.625
cluster_minilm_kmeans_10,4.5,0.485099321603775,0.22174886837601662,0.05,0.2633333333333333,0.9166666666666666,0.5351306647062302,0.26947702914476396,0.11000000000000001,0.5077777777777778,0.47311403873903873,0.4034658044576645,0.0,0.02,,0.6
cluster_minilm_kmeans_15,7.0,0.423135057836771,0.2681196351846059,0.060000000000000005,0.3214814814814815,0.8222222222222222,0.5410013020038604,0.28846412698427837,0.12000000000000001,0.5044444444444445,0.4936576386576386,0.373174586892128,0.0,0.02666666666666667,,0.7333333333333333
cluster_minilm_kmeans_20,9.5,0.43604767601937056,0.3027732029557228,0.05,0.365,0.755,0.5351377248764038,0.30127632021903994,0.135,0.61,0.5195760760978152,0.4059581018984318,0.0,0.035,,0.95
cluster_mpnet_hdbscan_100,0.0,0.434024045864741,0.3381114999453227,0.10000000000000002,0.4,0.9444444444444445,0.4439637263615926,0.2556473066409429,0.06666666666666667,0.44999999999999996,0.7333333333333334,0.2868122085928917,0.0,0.05,,1.0
cluster_mpnet_hdbscan_2,268.5,0.5908186021329904,0.26921659928177377,0.037037037037037035,0.5293267956533263,0.6764880952380953,0.7162355184003159,0.2759203726218806,0.10833333333333334,0.8833694083694084,0.6237951320937642,0.5306389376604048,0.0,0.027458256029684602,,0.6419294990723562
cluster_mpnet_hdbscan_30,6.5,0.4526918267365545,0.20592004945501685,0.05625,0.38666666666666666,0.8229166666666666,0.5678145848214626,0.27916082460433245,0.14375000000000002,0.66,0.5539659992784993,0.41750071545441947,0.0,0.03333333333333333,,0.6666666666666666
cluster_mpnet_hdbscan_35,6.5,0.4753505615517497,0.21915285382419825,0.037500000000000006,0.3733333333333333,0.8802083333333334,0.5760648772120476,0.2737865261733532,0.125,0.6066666666666667,0.5105073745698746,0.4319598744312922,0.0,0.03333333333333333,,0.6
cluster_mpnet_hdbscan_40,5.0,0.43301957186598045,0.2963833946448106,0.02307692307692308,0.31666666666666665,0.9358974358974359,0.5555406464980199,0.2839186260333428,0.13076923076923078,0.5499999999999999,0.5758442412288566,0.4218435436487198,0.0,0.03333333333333333,,0.6666666666666666
cluster_mpnet_hdbscan_45,2.5,0.45223627239465714,0.28487702924758196,0.0125,0.32857142857142857,0.8645833333333333,0.5198459438979626,0.28535871021449566,0.125,0.5285714285714286,0.5953067765567766,0.3925730437040329,0.0,0.028571428571428574,,0.8571428571428571
cluster_mpnet_hdbscan_50,3.0,0.4227813209096591,0.34084464940759873,0.06666666666666668,0.4875,1.1185185185185185,0.529589401351081,0.28381376961867016,0.13333333333333336,0.5875,0.5568832402165735,0.42592709325253963,0.0,0.025,,0.25
cluster_mpnet_hdbscan_55,2.0,0.39729989000729155,0.32571602506296976,0.014285714285714287,0.19999999999999998,0.6547619047619048,0.5103096493652889,0.2815605231693813,0.1,0.5833333333333334,0.5286047286047286,0.36636332670847577,0.0,0.03333333333333333,,0.6666666666666666
