cluster_id,summary_keywords
2,"issues product, absolutely issues, issue longevity, issues, product breaks"
6,"s16gb sandisk, recommended sandisk, performance sandisk, speed storage, sandisk ultra"
7,"sandisk reliable, samsung sandisk, sandisk s3, reviews sandisk, reliable sandisk"
0,"card gopro, card camera, card pro, sdxc card, recording gopro"
1,"memory card, card memory, quality card, memory cards, storage card"
4,"tablet performance, memory samsung, memory tablet, samsung note2, storage tablet"
3,"tablet 64gb, 64gb surface, 32gb microsd, surface pro, surface 64g"
5,"note 32gb, 128gb microsd, 128gb cards, 32gb card, 7mb card"
