cluster_id,summary_keywords
4,"memory smartphone, phone memory, memory phone, memory mobile, phones memory"
6,"sandisk storage, storage sandisk, sandisk microsd, sandisk 128gb, sandisk memory"
5,"sandisk apprehensive, reliable sandisk, sandisk advise, sandisk s3, reviews sandisk"
3,"32gb microsd, 64gb microsd, sd 32gb, 32gb sd, 32gb microsdhc"
1,"sd card, s2 64gb, phone 2gb, card samsung, memory card"
2,"32gb camera, recording 1080p, videos card, protune 1080p, video 16gb"
0,"exfat32 works, exfat s3, exfat android, fat32 card, reformat exfat32"
